Year,Consumption
2003-01-01,7896.75749
2004-01-01,8250.5
2005-01-01,8646.5
2006-01-01,9285.971
2007-01-01,10331.958432714391
2008-01-01,11257.772000000003
2009-01-01,12818.28518
2010-01-01,14194.4
2011-01-01,14992.4
2012-01-01,15743.9
2013-01-01,17128.3
2014-01-01,19075.3
2015-01-01,21846.499999999996
2016-01-01,23764.800000000003
2017-01-01,26174.47835999992
2018-01-01,28284.3
2019-01-01,29975.488406249053
2020-01-01,27968.99371045024
2021-01-01,30848.95707314725
2022-01-01,34976.363981211005
2023-01-01,37219.362412172675
