Year,Month,Petrol,Diesel
2000,Annual,,37957.822
2001,Annual,,36545.825
2002,Annual,,36644.708
2003,Annual,7896.75749,37074.37112999999
2004,Annual,8250.5,39650.3
2005,Annual,8646.5,40191.0
2006,Annual,9285.971,42896.487
2007,Annual,10331.958432714391,47668.71913340496
2008,Annual,11257.772000000004,51710.357
2009,Annual,12818.28518,56242.36685999999
2010,Annual,14194.4,60071.1
2011,Annual,14992.4,64750.0
2012,Annual,15743.9,69079.90000000001
2013,Annual,17128.3,68363.9
2014,Annual,19075.3,69416.2
2015,Annual,21846.5,74647.0
2016,Annual,23764.800000000003,76026.8
2017,Annual,26174.47835999992,81073.4364599997
2018,Annual,28284.3,83528.20000000001
2019,Annual,29975.488406249053,82602.01250544729
2020,Annual,27968.99371045024,72712.726314284
2021,Annual,30848.95707314725,76658.71844233386
2022,Annual,34976.363981211005,85900.45337549114
2023,Annual,37219.36241217268,89626.17119073564
